Barley-Barley grain-    Africa-Exports and imports,113
Barley-Barley grain-    Asia and Middle East-Exports and imports,682
Barley-Barley grain-    Europe/Eurasia-Exports and imports,441
Barley-Barley grain-    Oceania-Exports and imports,73
Barley-Barley grain-    Unidentified Country-Exports and imports,69
Barley-Barley grain-    Western Hemisphere-Exports and imports,728
Barley-Barley grain-  Caribbean Basin (CBERA)-Exports and imports,300
Barley-Barley grain-  Latin America-Exports and imports,562
Barley-Barley grain-World-Exports and imports,1460
Barley-Barley malting-          Belgium-Exports and imports,20
Barley-Barley malting-          China (Mainland)-Exports and imports,36
Barley-Barley malting-          China (Taiwan)-Exports and imports,58
Barley-Barley malting-          Denmark-Exports and imports,6
Barley-Barley malting-          France-Exports and imports,18
"Barley-Barley malting-          Germany, Fed. Republic; United, Begins 1-Exports and imports",21
Barley-Barley malting-          Greece-Exports and imports,2
Barley-Barley malting-          Hong Kong-Exports and imports,4
Barley-Barley malting-          India-Exports and imports,4
Barley-Barley malting-          Indonesia-Exports and imports,2
Barley-Barley malting-          Ireland-Exports and imports,36
Barley-Barley malting-          Italy-Exports and imports,7
Barley-Barley malting-          Japan-Exports and imports,126
Barley-Barley malting-          Netherlands-Exports and imports,10
Barley-Barley malting-          Pakistan-Exports and imports,4
Barley-Barley malting-          Philippines-Exports and imports,28
Barley-Barley malting-          Poland-Exports and imports,4
Barley-Barley malting-          Portugal-Exports and imports,2
"Barley-Barley malting-          Russian Federation, Begins 2/1992-Exports and imports",20
Barley-Barley malting-          Singapore-Exports and imports,3
Barley-Barley malting-          South Korea-Exports and imports,37
Barley-Barley malting-          Spain-Exports and imports,4
Barley-Barley malting-          Sri Lanka-Exports and imports,3
Barley-Barley malting-          Switzerland-Exports and imports,2
Barley-Barley malting-          Thailand-Exports and imports,13
Barley-Barley malting-          United Kingdom-Exports and imports,167
Barley-Barley malting-        Acceding_10-Exports and imports,4
Barley-Barley malting-        Argentina-Exports and imports,14
Barley-Barley malting-        Australia (No Islands)-Exports and imports,4
Barley-Barley malting-        Bahamas-Exports and imports,7
Barley-Barley malting-        Bermuda-Exports and imports,4
Barley-Barley malting-        Brazil-Exports and imports,6
Barley-Barley malting-        Canada-Exports and imports,603
Barley-Barley malting-        Cayman Islands-Exports and imports,4
Barley-Barley malting-        Central African Republic-Exports and imports,2
Barley-Barley malting-        Chile-Exports and imports,3
Barley-Barley malting-        Colombia-Exports and imports,7
Barley-Barley malting-        Costa Rica-Exports and imports,4
Barley-Barley malting-        Cuba-Exports and imports,2
Barley-Barley malting-        Dominica-Exports and imports,2
Barley-Barley malting-        Dominican Republic-Exports and imports,55
Barley-Barley malting-        East Asia-Exports and imports,206
Barley-Barley malting-        Ecuador-Exports and imports,3
Barley-Barley malting-        Egypt-Exports and imports,2
Barley-Barley malting-        El Salvador-Exports and imports,35
